,Sr No,startup,vertical,city,investors,round,amount,year,state
240,241,Fitraq,Healthcare,Gurugram,Tarun arora,Seed Funding,1.24,2015,Haryana
241,242,Fitternity,Consumer Internet,Mumbai,Exfinity venture partners,Private Equity,8.25,2015,Maharashtra
242,243,Fixy,Services,Mumbai,Venturenursery,Seed Funding,0.0,2015,Maharashtra
243,244,Flashdoor,Real Estate,Bengaluru,"Sujeet kumar, Ankit nagori, Traxcn labs",Seed Funding,0.0,2015,Karnataka
244,245,Flatchat,Technology,Bengaluru,Commonfloor,Private Equity,20.63,2015,Karnataka
245,246,Flatpebble,Services,Hyderabad,Indian angel network,Seed Funding,4.95,2015,Telangana
246,247,FleetRover,Logistics,Goa,"Tim chen, Sanjay venkat",Seed Funding,1.49,2015,Goa
247,248,Flexing It,Sports,New Delhi,Undisclosed private investors,Seed Funding,4.13,2015,Delhi
248,249,Flipkart,E-Commerce,Bengaluru,Steadview capital and existing investors,Private Equity,5775.0,2015,Karnataka
249,250,Flipkart,E-Commerce,Bengaluru,Morgan stanley,Private Equity,412.5,2015,Karnataka
250,251,Flytxt,Marketing,Mumbai,"Sunrise capital gmbh, Big data investments b.v",Private Equity,90.75,2015,Maharashtra
251,252,Focus Digit,E-Commerce,New Delhi,Turning ideas,Seed Funding,0.0,2015,Delhi
252,253,FoodAbhi,Food,Mumbai,Group of angel investors,Seed Funding,0.0,2015,Maharashtra
253,254,Foodpanda,Food,Gurugram,Rocket internet ag & others,Private Equity,907.5,2015,Haryana
254,255,Foodpanda,Food,Gurugram,"Goldman sachs, Rocket internet",Private Equity,825.0,2015,Haryana
255,256,FoodTalkIndia,Food,Gurugram,Undisclosed investor,Seed Funding,4.13,2015,Haryana
256,257,Footprints Education,Education,Gurugram,"letsventure, Kumar bansal, Kshitij jain",Seed Funding,5.65,2015,Haryana
257,258,Fourseven,Personal Care,New Delhi,Indian angel network,Seed Funding,3.75,2015,Delhi
258,259,Fourth Partner Energy,Energy,Hyderabad,"Infuse ventures, The chennai angels",Private Equity,16.5,2015,Telangana
259,260,Fracktal Works,Technology,Bengaluru,Neoteric infomatique limited,Private Equity,24.75,2015,Karnataka
260,261,Frankly,Media,Mumbai,Matrix partners,Seed Funding,4.95,2015,Maharashtra
261,262,FreeCharge,FinTech,Mumbai,"Valiant capital, Tybourne capital, Sequoia capital, Runet and sofina",Private Equity,660.0,2015,Maharashtra
262,263,Freshdesk,Technology,Chennai,"Tiger global, Google capital & accel partners",Private Equity,412.5,2015,Tamil Nadu
263,264,Freshmonk,Healthcare,Bengaluru,"August capital partners, Michael blakey",Seed Funding,0.0,2015,Karnataka
264,265,FreshWorld,Food,Bengaluru,"Kris gopalakrishnan, Nagaraja prakasam",Seed Funding,0.0,2015,Karnataka
265,266,Frsh,Delivery,Chennai,"Mumbai angels, Mayank bhangdia, Kae capital",Private Equity,8.25,2015,Tamil Nadu
266,267,Frsh,Delivery,Chennai,"India quotient, Kae capital",Seed Funding,4.27,2015,Tamil Nadu
267,268,FundsIndia,Finance,Chennai,"Faering capital, Foundation capital, Inventus capital partners",Private Equity,90.75,2015,Tamil Nadu
268,269,Furdo,Services,Bengaluru,Bhavdeep reddy,Seed Funding,3.3,2015,Karnataka
269,270,Furlenco,E-Commerce,Bengaluru,Lightbox ventures,Private Equity,49.5,2015,Karnataka
270,271,Fusion Microfinance,Finance,New Delhi,"Development finance institution belgian investment company, Oikocredit",Private Equity,70.95,2015,Delhi
271,272,Fxkart,FinTech,Bengaluru,"Dr mushtaq shah, Dr faraz naqvi",Seed Funding,16.5,2015,Karnataka
272,273,FXMartIndia,FinTech,Chandigarh,Flipkart,Private Equity,0.0,2015,Chandigarh
273,274,FYNE,Healthcare,Bengaluru,Sandeep dama & others,Seed Funding,0.0,2015,Karnataka
274,275,Gaana,Entertainment,Mumbai,Micromax informatics ltd,Private Equity,0.0,2015,Maharashtra
275,276,Gadgets 360,Transportation,New Delhi,One97 communications,Private Equity,0.0,2015,Delhi
276,277,Gadgetwood,Electronics,New Delhi,"Ajai chowdhry, Ashvin chadha, Yogesh bansal, \\nnitin singhal & others",Seed Funding,1.65,2015,Delhi
277,278,GameXS.in,Entertainment,New Delhi,Lead angels,Seed Funding,0.0,2015,Delhi
278,279,GetFocus,Technology,Mumbai,Undisclosed investors,Seed Funding,0.0,2015,Maharashtra
279,280,GetMyPeon,Services,Mumbai,Undisclosed investors,Seed Funding,2.06,2015,Maharashtra
280,281,getNow,E-Commerce,Nagpur,Atulya mittal,Seed Funding,0.0,2015,Maharashtra
281,282,GIBBS,Consumer Goods,Mumbai,Infuse ventures fund,Private Equity,0.0,2015,Maharashtra
282,283,GIBSS,Consumer Goods,Mumbai,"Responsability investments, Infuse ventures",Private Equity,0.0,2015,Maharashtra
283,284,Gingercrush,E-Commerce,Vadodara,"Gokul jaykrishna, Brand capital",Seed Funding,8.25,2015,Gujarat
284,285,Gingercrush,E-Commerce,Vadodara,Tv mohandas pai's family office,Seed Funding,0.0,2015,Gujarat
285,286,Glamrs,Personal Care,Mumbai,"Ventureworks india, Blume ventures, Batlivala & karani securities, Nikunj jhaveri",Private Equity,8.25,2015,Maharashtra
286,287,Glowship,Energy,Bengaluru,Infuse ventures,Seed Funding,0.0,2015,Karnataka
287,288,Godof Hospitals,Healthcare,New Delhi,Pankaj gupta,Seed Funding,16.5,2015,Delhi
288,289,GoJavas,Logistics,Gurugram,Snapdeal,Private Equity,165.0,2015,Haryana
289,290,GoJavas,Logistics,Gurugram,Snapdeal,Private Equity,0.0,2015,Haryana
290,291,GolfLAN,Sports,New Delhi,Yournest angel fund,Seed Funding,0.0,2015,Delhi
291,292,Goodbox,E-Commerce,Bengaluru,Nexus venture partners,Private Equity,20.63,2015,Karnataka
292,293,Goodbox,E-Commerce,Bengaluru,Manipal group,Seed Funding,1.65,2015,Karnataka
293,294,Goodservice,Services,New Delhi,Sequoia capital,Private Equity,13.2,2015,Delhi
294,295,GOQii,Healthcare,Mumbai,"New enterprise associates, Cheetah mobile",Private Equity,110.55,2015,Maharashtra
295,296,GOQii,Healthcare,Mumbai,Vijay shekhar sharma,Private Equity,0.0,2015,Maharashtra
296,297,Gozoomo,Transportation,Bengaluru,Saif partners,Private Equity,41.25,2015,Karnataka
297,298,Grab,Delivery,Mumbai,"Oliphans capital, Haresh chawla",Seed Funding,8.25,2015,Maharashtra
298,299,Grab,Delivery,Mumbai,Sixth sense ventures,Seed Funding,0.0,2015,Maharashtra
299,300,Grabhouse,Real Estate,Bengaluru,Sequoia and kalaari capital.,Private Equity,82.5,2015,Karnataka
300,301,Grabhouse,Real Estate,Mumbai,"Kalaari capital, Sequoia capital",Private Equity,20.63,2015,Maharashtra
301,302,GrandOpinion,Media,New Delhi,Florida based angel investor,Seed Funding,1.24,2015,Delhi
302,303,Graphene,Technology,Mumbai,Karsemven fund,Private Equity,6.81,2015,Maharashtra
303,304,Graphic India,Media,Bengaluru,"Ca media lp,  start media.",Seed Funding,23.1,2015,Karnataka
304,305,Grex,E-Commerce,Pune,"Kunal bajaj, Chandru badrinarayanan",Seed Funding,5.36,2015,Maharashtra
305,306,Grey Orange,Technology,Gurugram,Tiger global management,Private Equity,247.5,2015,Haryana
306,307,Gridle,Cloud Tech,Ahmedabad,Letsventure,Seed Funding,0.83,2015,Gujarat
307,308,Grofers,E-Commerce,Gurugram,"Softbank, Tiger global, Sequoia capital, Apoletto managers",Private Equity,990.0,2015,Haryana
308,309,Grofers,E-Commerce,Gurugram,"Tiger global, Sequoia capital",Private Equity,288.75,2015,Haryana
309,310,Grofers,E-Commerce,Gurugram,"Tiger global management, Sequoia capital india",Private Equity,82.5,2015,Haryana
310,311,Groupon India,E-Commerce,Gurugram,Sequoia capital,Private Equity,165.0,2015,Haryana
311,312,Guiddoo World,Travel,Mumbai,"Pawan borle, Svp fly dubai & others",Seed Funding,0.0,2015,Maharashtra
312,313,GuruG Learning,Education,Bengaluru,India educational investment fund,Seed Funding,0.0,2015,Karnataka
313,314,Gympik,Healthcare,Bengaluru,"Tom clausen, Rohan ajila, Haldyn glass",Seed Funding,1.11,2015,Karnataka
314,315,GymTrekker,Personal Care,Mumbai,"Dewang neralla, Roopak taneja, Manisha gupta",Seed Funding,0.0,2015,Maharashtra
315,316,HackerRank,Education,Bengaluru,Hr technology fund,Private Equity,61.88,2015,Karnataka
316,317,HandyHome,Technology,Mumbai,"Bessemer ventures, Kae capital",Seed Funding,5.2,2015,Maharashtra
317,318,Hansa Customer Equity,IT,Mumbai,Ask pravi,Private Equity,41.25,2015,Maharashtra
318,319,happay,FinTech,Bengaluru,Angelprime,Seed Funding,4.13,2015,Karnataka
319,320,Happitoo,Travel,Mumbai,Unnamed investor,Seed Funding,0.64,2015,Maharashtra
320,321,Harness Handitouch,Technology,Bengaluru,Armat group,Private Equity,0.0,2015,Karnataka
321,322,HeadOut,Travel,Bengaluru,"Version one ventures, 500 startups, Nexus venture partners and arena ventures",Seed Funding,14.85,2015,Karnataka
322,323,Healers At Home,Healthcare,New Delhi,"Daljit singh, Dr. pramath raj sinha, Bvr mohan reddy",Seed Funding,0.0,2015,Delhi
323,324,Healthians,Healthcare,Gurugram,Youwecan ventures,Seed Funding,0.0,2015,Haryana
324,325,HealthifyMe,Healthcare,Bengaluru,"Gopal srinivasan, Sashi reddy, Amit gupta, Pallav nadhani",Private Equity,0.0,2015,Karnataka
325,326,HealthyWorld.in,Healthcare,Gurugram,Group of angel investors,Seed Funding,1.65,2015,Haryana
326,327,HeyBiz,Services,New Delhi,Shopclues,Seed Funding,0.0,2015,Delhi
327,328,HeyPillow,Home & Lifestyle,Bengaluru,Hampton capital,Private Equity,24.75,2015,Karnataka
328,329,HiJinny,Personal Care,Mumbai,Cmyk health boutique pvt ltd & other individual investors,Seed Funding,0.0,2015,Maharashtra
329,330,Hipship,Delivery,Bengaluru,"Inara capital, Rishi khiani",Seed Funding,0.0,2015,Karnataka
330,331,Hitwicket,Entertainment,Hyderabad,Chennai angels,Seed Funding,2.06,2015,Telangana
331,332,Holachef,Delivery,Mumbai,"Kalaari capital, India quotient",Private Equity,25.58,2015,Maharashtra
332,333,HolaChef,Delivery,Mumbai,India quotient,Seed Funding,2.68,2015,Maharashtra
333,334,HolaChef,Delivery,Mumbai,Ratan tata,Private Equity,0.0,2015,Maharashtra
334,335,HolidayIQ,Travel,Bengaluru,Makemytrip,Private Equity,123.75,2015,Karnataka
335,336,Holidify,Travel,New Delhi,Aarti group,Seed Funding,0.83,2015,Delhi
336,337,Holisol Logistics,Logistics,New Delhi,Clsa capital partners aria iv funds,Private Equity,82.5,2015,Delhi
337,338,HomeLane,Design,Bengaluru,Sequoia capital,Private Equity,412.5,2015,Karnataka
338,339,HomeLane,Design,Bengaluru,"Sequoia capital, Ranjan pai, Mohandas pai & others",Private Equity,37.13,2015,Karnataka
339,340,Homers.in,Services,Gurugram,"Devesh rai g, Rajesh aggarwal, Amitpal bhutani",Seed Funding,0.0,2015,Haryana
340,341,HomeStudio,Services,Bengaluru,Bren corporation,Private Equity,41.25,2015,Karnataka
341,342,Hopping Chef,Food,Mumbai,Mirah hospitality,Seed Funding,3.88,2015,Maharashtra
342,343,Hopscotch,E-Commerce,Mumbai,Eduardo saverin & velos capital,Private Equity,90.75,2015,Maharashtra
343,344,Hostel Dunia,Services,Bengaluru,Hyderabad angels (at startup heroes event),Seed Funding,0.13,2015,Karnataka
344,345,Hotify,Media,Bengaluru,Mahavir pratap sharma,Seed Funding,1.24,2015,Karnataka
345,346,Housejoy,Services,Bengaluru,"Amazon, Vertex ventures, Qualcomm, Ru-net technology partners, Matrix partners",Private Equity,185.63,2015,Karnataka
346,347,Housejoy,Services,Bengaluru,Matrix partners,Private Equity,33.0,2015,Karnataka
347,348,Hugefly,E-Commerce,Pune,Mayank singhal and others,Seed Funding,0.0,2015,Maharashtra
348,349,HyperVerge,Cloud Tech,Chennai,"Nea, Milliways ventures, Naya ventures",Seed Funding,8.25,2015,Tamil Nadu
349,350,i2e1,Internet,New Delhi,Growx ventures,Seed Funding,4.13,2015,Delhi
350,351,iamwire,Media,Gurugram,"Li tao, Li jian, Draphant consultants, Nitin garg, Saurabh jain, Mohit agarwal",Seed Funding,0.0,2015,Haryana
351,352,Icertis,Consumer Internet,Pune,"Greycroft partners, Fidelity growth partners",Private Equity,49.5,2015,Maharashtra
352,353,iChef.in,Food,Mumbai,Springboard ventures,Private Equity,0.0,2015,Maharashtra
353,354,iCrushiFlush,Waste Management,Mumbai,Idg ventures india,Seed Funding,0.0,2015,Maharashtra
354,355,iCustomadeit,E-Commerce,Pune,Group of angel investors,Seed Funding,2.06,2015,Maharashtra
355,356,IDfy,FinTech,Mumbai,"Nea, Blume ventures & others",Private Equity,0.0,2015,Maharashtra
356,357,iDreamCareer,EdTech,New Delhi,"Ah! ventures, Vivek joshi, Mohit satyanand & others",Seed Funding,0.0,2015,Delhi
357,358,IFMR Holdings,Finance,Chennai,"Accion, Leapfrog investments, Lok capital",Private Equity,206.25,2015,Tamil Nadu
358,359,Ignis Careers,Services,Hyderabad,Acumen fund,Seed Funding,2.06,2015,Telangana
359,360,iMMi Life,Healthcare,Chennai,Unitus seed fund,Seed Funding,0.0,2015,Tamil Nadu
360,361,Impartus,EdTech,Mumbai,Kaizen private equity,Private Equity,0.0,2015,Maharashtra
361,362,Inayo,Delivery,Mumbai,"Kemark ventures, Amit ranjan, Zishaan hayath and others",Seed Funding,2.48,2015,Maharashtra
362,363,IndiaLends,FinTech,New Delhi,"Dsg consumer partners, Paragon partners",Private Equity,8.25,2015,Delhi
363,364,IndiaLends,FinTech,New Delhi,"Dsg consumer partners, Siddharth parekh",Private Equity,0.0,2015,Delhi
364,365,IndianRoots,E-Commerce,Gurugram,Kjs group,Private Equity,41.25,2015,Haryana
365,366,Indifi,FinTech,Gurugram,"Accel partners, Elevar equity, Pramod bhasin, Rajan anandan, Gaurav dalmia, Abhishek goyal, Gagan hasteer, Arun tadanki",Seed Funding,0.0,2015,Haryana
366,367,Indix,Software,Chennai,"Nokia growth partners, Nexus venture partners, Avalon ventures",Private Equity,123.75,2015,Tamil Nadu
367,368,IndustryBuying,E-Commerce,New Delhi,"Kalaari capital, Saif partners, Beenextan investment fund",Private Equity,75.9,2015,Delhi
368,369,IndustryBuying,E-Commerce,New Delhi,Saif partners,Private Equity,16.5,2015,Delhi
369,370,Industrybuying,E-Commerce,New Delhi,"Murugappa group, Tvs group, Vellayan subbiah, Arathi krishna, Arun venkatachalam",Seed Funding,0.0,2015,Delhi
370,371,Infinite Analytics,Data Analytics,Mumbai,"Ratan tata, Nikhil vora & others",Private Equity,0.0,2015,Maharashtra
371,372,Infinity Assurance,Finance,New Delhi,indian angel network,Seed Funding,4.95,2015,Delhi
372,373,Infogain,IT,New Delhi,Chryscapital,Private Equity,519.75,2015,Delhi
373,374,Infoworks,Data Analytics,Bengaluru,"Nexus venture partners, Knoll ventures and others",Private Equity,41.25,2015,Karnataka
374,375,Inkmonk,E-Commerce,Chennai,"Girish mathrubootham, Phanindra sama, Vikram chachra, Others from letsventure",Seed Funding,2.06,2015,Tamil Nadu
375,376,Inmobi,Marketing,Bengaluru,Tennenbaum capital partners & others,Private Equity,825.0,2015,Karnataka
376,377,InnerChef,Food,Gurugram,"Phanindra sama, Anupam mittal, Vijay shekhar sharma, Vishal gondal, Sateesh andara & others",Private Equity,14.44,2015,Haryana
377,378,Innovaccer,Technology,Noida,"Rajan anandan, Teru sato, Aneesh reddy, Venkatesh valluri",Seed Funding,0.0,2015,Uttar Pradesh
378,379,Innoviti,FinTech,Bengaluru,"Catamaran ventures, New india investment corporation",Private Equity,40.01,2015,Karnataka
379,380,Inspirock,Travel,Gurugram,Makemytrip innovation fund,Private Equity,0.0,2015,Haryana
380,381,InstaBounce,Logistics,Mumbai,Group of angel investors,Seed Funding,0.14,2015,Maharashtra
381,382,InstaLively,Technology,New Delhi,Group of angel investors,Seed Funding,0.99,2015,Delhi
382,383,InstaLively,Technology,New Delhi,"Anupam mittal, Anand chandrasekaran, Uday shankar, Chetan bhagat",Seed Funding,0.0,2015,Delhi
383,384,InstaSafe,Technology,Bengaluru,Group of investors,Seed Funding,0.0,2015,Karnataka
384,385,Instavans,Logistics,Bengaluru,Suresh vaswani,Seed Funding,0.0,2015,Karnataka
385,386,Intelligence Node,Data Analytics,Mumbai,"New enterprise associates, Orios venture partners",Private Equity,34.65,2015,Maharashtra
386,387,Intelligent Interfaces,AI,Bengaluru,"Sachin bansal, Binny bansal",Seed Funding,0.0,2015,Karnataka
387,388,Intruo,Technology,Bengaluru,"Ashutosh lawania, Alok goel & others",Seed Funding,0.0,2015,Karnataka
388,389,iOrderFresh,Delivery,New Delhi,Best foodworks,Seed Funding,0.0,2015,Delhi
389,390,IQlect,Data Analytics,Bengaluru,Exfinity venture partners,Private Equity,16.5,2015,Karnataka
390,391,iSTAR,Technology,Bengaluru,Unitus seed fund,Private Equity,0.0,2015,Karnataka
391,392,iStar Skill Development,Education,Bengaluru,"Michael & susan dell foundation, Unitus seed fund",Private Equity,12.38,2015,Karnataka
392,393,iTraveller,Travel,Bengaluru,Ah! ventures,Private Equity,8.25,2015,Karnataka
393,394,Itzcash,FinTech,Mumbai,Ashok goel (promoter),Private Equity,136.13,2015,Maharashtra
394,395,Ixigo,Travel,Gurugram,Micromax informatics,Private Equity,0.0,2015,Haryana
395,396,iZofy,Technology,Kolkata,Prime capital markets ltd,Seed Funding,0.0,2015,West Bengal
396,397,Jay Robotix,Technology,Hyderabad,Cross border angels & others,Seed Funding,2.06,2015,Telangana
397,398,JetSetGo,Travel,Bengaluru,Puneet dalmia,Private Equity,0.0,2015,Karnataka
398,399,Jiffstore,E-Commerce,Bengaluru,"Unitus seed fund, Times internet",Seed Funding,0.0,2015,Karnataka
399,400,Jigsaw Academy,Education,Bengaluru,Manipal global education services,Private Equity,24.75,2015,Karnataka
400,401,Jiyo Natural,Food,Bengaluru,Indian angel network,Seed Funding,0.0,2015,Karnataka
401,402,Jobspire,Careers,Bengaluru,Purvi capital,Seed Funding,2.15,2015,Karnataka
402,403,JoeHukum,Technology,Gurugram,"Tracxnlabs, Jitendra gupta, Prashant tandon",Seed Funding,0.0,2015,Haryana
403,404,JollyFoodFellow,Food ,Ahmedabad,The 1947,Seed Funding,2.48,2015,Gujarat
404,405,Jombay,Healthcare,Pune,Ventureworks india,Private Equity,0.0,2015,Maharashtra
405,406,Joy by nature,Food,New Delhi,"Mumbai angels, Vriddhi fund, Others",Private Equity,8.25,2015,Delhi
406,407,Juggernaut,Media,New Delhi,"William bissell, Neeraj aggarwal, Nandan nilekani",Private Equity,18.56,2015,Delhi
407,408,Jugnoo,Transportation,Chandigarh,Paytm,Private Equity,82.5,2015,Chandigarh
408,409,Jugnoo,Transportation,Chandigarh,"Snow leopard, Paytm",Private Equity,41.25,2015,Chandigarh
409,410,Jugnoo,Transportation,Chandigarh,"Rakesh mathur, Vikas taneja & others",Seed Funding,8.25,2015,Chandigarh
410,411,Julia Computing,Technology,Bengaluru,Gordon and betty moore foundation,Seed Funding,4.95,2015,Karnataka
411,412,JumboBasket,E-Commerce,Chandigarh,Chandigarh angels network,Seed Funding,0.0,2015,Chandigarh
412,413,Jusride,Transportation,Mumbai,"Alok mittal, Zeeshan hayat, Niraj singh, Nikunj jain, Anirudh damani, Punit goyal",Seed Funding,0.0,2015,Maharashtra
413,414,Kaaryah,Personal Care,Gurugram,Ratan tata,Seed Funding,0.0,2015,Haryana
414,415,Karma Healthcare,Healthcare,Udaipur,Ennovent impact investment holding,Private Equity,0.0,2015,Rajasthan
415,416,Karma Recycling,Waste Management,New Delhi,"Infuse ventures, Low carbon enterprise fund",Private Equity,0.0,2015,Delhi
416,417,Ketto,Crowdfunding,Mumbai,"Chennai angels, Calcutta angels, Ah! ventures, Intellecap impact investment network, Indus age partners, Singapore angel network, India internet fund, Letsventure",Seed Funding,5.78,2015,Maharashtra
417,418,Kleeto,Services,Gurugram,Grex,Seed Funding,1.9,2015,Haryana
418,419,KleverKid,EdTech,New Delhi,Aarin capital partners,Seed Funding,0.0,2015,Delhi
419,420,Klip.in,E-Commerce,Bengaluru,"Calcutta angels, Venture nursery angels mumbai angels",Seed Funding,4.13,2015,Karnataka
420,421,Klozee,E-Commerce,Bengaluru,Tracxn labs,Seed Funding,0.0,2015,Karnataka
421,422,Knit,Personal Care,New Delhi,"Rohit jain, Amit rambhia & others",Seed Funding,0.0,2015,Delhi
422,423,Kobster,E-Commerce,Chennai,Splice advisors,Seed Funding,0.0,2015,Tamil Nadu
423,424,Kolabro,Real Estate,Gurugram,"Umang kumar, Ruchir arora & others",Seed Funding,0.0,2015,Haryana
424,425,KOOH Sports,Sports,Mumbai,"Tcs, Hdfc, Faering capital, Elevate sports",Private Equity,16.5,2015,Maharashtra
425,426,Korra,Personal Care,New Delhi,Asha jadeja motwani & others,Seed Funding,2.48,2015,Delhi
